"FIPS_Code","State","Area_Name","Civilian_labor_force_2018","Employed_2018","Unemployed_2018","Unemployment_rate_2018","Civilian_labor_force_2019","Employed_2019","Unemployed_2019","Unemployment_rate_2019","Civilian_labor_force_2020","Employed_2020","Unemployed_2020","Unemployment_rate_2020","Civilian_labor_force_2021","Employed_2021","Unemployed_2021","Unemployment_rate_2021","Civilian_labor_force_2022","Employed_2022","Unemployed_2022","Unemployment_rate_2022","Civilian_labor_force_2023","Employed_2023","Unemployed_2023","Unemployment_rate_2023","Median_Household_Income_2022","Med_HH_Income_Percent_of_State_Total_2022","Rural_Urban_Continuum_Code_2023","Metro_2023"
0,"US","United States",162039448,155727509,6311939,3.9,163815894,157805901,6009993,3.7,161131754,148133696,12998058,8.1,161784447,153122706,8661741,5.4,164341251,158342285,5998966,3.7,166689556,160623678,6065878,3.6,74755,NA,NA,NA
1000,"AL","Alabama",2240109,2152270,87839,3.9,2271835,2199379,72456,3.2,2263144,2118600,144544,6.4,2249514,2173978,75536,3.4,2276362,2218627,57735,2.5,2308131,2250472,57659,2.5,59703,100,NA,NA
2000,"AK","Alaska",355499,334068,21431,6,352029,332197,19832,5.6,346552,317678,28874,8.3,351520,329147,22373,6.4,353692,338729,14963,4.2,357094,342005,15089,4.2,88072,100,NA,NA
4000,"AZ","Arizona",3325721,3166013,159708,4.8,3432400,3267548,164852,4.8,3471339,3200219,271120,7.8,3525449,3347264,178185,5.1,3599531,3462671,136860,3.8,3690974,3546508,144466,3.9,74355,100,NA,NA
5000,"AR","Arkansas",1343862,1294809,49053,3.7,1353175,1305858,47317,3.5,1340557,1257949,82608,6.2,1330676,1276933,53743,4,1359540,1315886,43654,3.2,1377657,1332876,44781,3.3,55505,100,NA,NA
6000,"CA","California",19289505,18469910,819595,4.2,19385262,18589551,795711,4.1,18958604,17037036,1921568,10.1,18956575,17568743,1387832,7.3,19169341,18348916,820425,4.3,19308287,18388329,919958,4.8,91517,100,NA,NA
8000,"CO","Colorado",3054347,2961423,92924,3,3104684,3022060,82624,2.7,3082228,2873752,208476,6.8,3149673,2977479,172194,5.5,3186932,3089081,97851,3.1,3230482,3128115,102367,3.2,89096,100,NA,NA
9000,"CT","Connecticut",1923872,1849370,74502,3.9,1931826,1862314,69512,3.6,1874247,1724812,149435,8,1842166,1724540,117626,6.4,1912008,1833670,78338,4.1,1893200,1822088,71112,3.8,88182,100,NA,NA
10000,"DE","Delaware",480371,462545,17826,3.7,485873,468539,17334,3.6,486701,450325,36376,7.5,493627,466623,27004,5.5,497202,475995,21207,4.3,506529,486404,20125,4,81933,100,NA,NA
11000,"DC","District of Columbia",395604,373202,22402,5.7,400641,378443,22198,5.5,386235,355694,30541,7.9,377737,352029,25708,6.8,388387,369952,18435,4.7,398251,378714,19537,4.9,99897,100,NA,NA
12000,"FL","Florida",10118306,9749598,368708,3.6,10256297,9922941,333356,3.3,10077028,9257738,819290,8.1,10320373,9838506,481867,4.7,10692183,10370751,321432,3,10988566,10668886,319680,2.9,69287,100,NA,NA
13000,"GA","Georgia",5126923,4922489,204434,4,5165423,4980501,184922,3.6,5082864,4754102,328762,6.5,5156388,4954094,202294,3.9,5222263,5058165,164098,3.1,5305623,5135833,169790,3.2,72742,100,NA,NA
15000,"HI","Hawaii",692457,675849,16608,2.4,686066,668769,17297,2.5,665964,588159,77805,11.7,670193,630151,40042,6,672727,650672,22055,3.3,676355,656336,20019,3,93683,100,NA,NA
16000,"ID","Idaho",862434,837767,24667,2.9,888611,862940,25671,2.9,899807,850130,49677,5.5,921718,888950,32768,3.6,944919,918106,26813,2.8,961506,931748,29758,3.1,72634,100,NA,NA
17000,"IL","Illinois",6557416,6270844,286572,4.4,6543691,6283464,260227,4,6321066,5735263,585803,9.3,6327675,5942191,385484,6.1,6421708,6127480,294228,4.6,6437855,6150672,287183,4.5,76744,100,NA,NA
18000,"IN","Indiana",3392579,3276805,115774,3.4,3399870,3287462,112408,3.3,3328778,3086279,242499,7.3,3332745,3201829,130916,3.9,3373887,3270662,103225,3.1,3401387,3288017,113370,3.3,66768,100,NA,NA
19000,"IA","Iowa",1711811,1667817,43994,2.6,1742078,1695474,46604,2.7,1668401,1582202,86199,5.2,1679982,1615303,64679,3.8,1706493,1658263,48230,2.8,1709402,1659106,50296,2.9,69708,100,NA,NA
20000,"KS","Kansas",1493360,1443204,50156,3.4,1504415,1456662,47753,3.2,1501827,1414596,87231,5.8,1498226,1448294,49932,3.3,1502603,1463010,39593,2.6,1510988,1470936,40052,2.7,68827,100,NA,NA
21000,"KY","Kentucky",2052877,1966186,86691,4.2,2064637,1979803,84834,4.1,2005210,1874863,130347,6.5,2010884,1921355,89529,4.5,2030274,1948312,81962,4,2026263,1941994,84269,4.2,59246,100,NA,NA
22000,"LA","Louisiana",2109741,2007981,101760,4.8,2101749,2004115,97634,4.6,2052043,1875244,176799,8.6,2056137,1941271,114866,5.6,2068817,1993244,75573,3.7,2076760,2000152,76608,3.7,55458,100,NA,NA
23000,"ME","Maine",700856,678584,22272,3.2,698261,678011,20250,2.9,671979,637985,33994,5.1,688542,656138,32404,4.7,681172,661833,19339,2.8,687322,667619,19703,2.9,69485,100,NA,NA
24000,"MD","Maryland",3270635,3146485,124150,3.8,3338480,3225825,112655,3.4,3230561,3022470,208091,6.4,3152885,2988216,164669,5.2,3154854,3060216,94638,3,3184868,3117270,67598,2.1,94957,100,NA,NA
25000,"MA","Massachusetts",3818769,3686198,132571,3.5,3848611,3731900,116711,3,3744255,3396014,348241,9.3,3731417,3530207,201210,5.4,3743592,3606318,137274,3.7,3751662,3625293,126369,3.4,94538,100,NA,NA
26000,"MI","Michigan",4944794,4739081,205713,4.2,4979516,4776963,202553,4.1,4861572,4376032,485540,10,4775153,4500849,274304,5.7,4866063,4664171,201892,4.1,5007904,4812421,195483,3.9,66926,100,NA,NA
27000,"MN","Minnesota",3075090,2982658,92432,3,3111674,3009672,102002,3.3,3122016,2926644,195372,6.3,3049037,2935653,113384,3.7,3071450,2992787,78663,2.6,3099923,3012707,87216,2.8,82343,100,NA,NA
28000,"MS","Mississippi",1268040,1205342,62698,4.9,1278958,1208541,70417,5.5,1244316,1145184,99132,8,1251894,1183867,68027,5.4,1248093,1200234,47859,3.8,1231104,1192015,39089,3.2,52788,100,NA,NA
29000,"MO","Missouri",3048449,2949963,98486,3.2,3073523,2973662,99861,3.2,3025785,2839617,186168,6.2,3028635,2902841,125794,4.2,3036611,2957352,79259,2.6,3087759,2993587,94172,3,64783,100,NA,NA
30000,"MT","Montana",535140,515213,19927,3.7,543914,524870,19044,3.5,544500,512744,31756,5.8,549105,530391,18714,3.4,564052,548848,15204,2.7,574096,557509,16587,2.9,67915,100,NA,NA
31000,"NE","Nebraska",1036411,1006283,30128,2.9,1050380,1017743,32637,3.1,1045106,1000645,44461,4.3,1043331,1015997,27334,2.6,1050357,1027681,22676,2.2,1054681,1030880,23801,2.3,69828,100,NA,NA
32000,"NV","Nevada",1494692,1429284,65408,4.4,1545118,1481046,64072,4.1,1505941,1302514,203427,13.5,1500442,1397961,102481,6.8,1557609,1476297,81312,5.2,1602652,1520260,82392,5.1,72348,100,NA,NA
33000,"NH","New Hampshire",770469,750285,20184,2.6,778467,758463,20004,2.6,761429,710538,50891,6.7,753206,727574,25632,3.4,760333,742975,17358,2.3,759604,742886,16718,2.2,90750,100,NA,NA
34000,"NJ","New Jersey",4604787,4420713,184074,4,4687390,4525044,162346,3.5,4638386,4200980,437406,9.4,4648814,4337793,311021,6.7,4736213,4552563,183650,3.9,4829671,4615722,213949,4.4,96341,100,NA,NA
35000,"NM","New Mexico",944936,898360,46576,4.9,955798,908397,47401,5,931499,858100,73399,7.9,942420,875911,66509,7.1,947411,908878,38533,4.1,965244,928983,36261,3.8,59842,100,NA,NA
36000,"NY","New York",9826126,9424212,401914,4.1,9850900,9470443,380457,3.9,9564414,8628006,936408,9.8,9532961,8856999,675962,7.1,9595770,9178585,417185,4.3,9717791,9306973,410818,4.2,79463,100,NA,NA
37000,"NC","North Carolina",4911884,4715616,196268,4,5000820,4807598,193222,3.9,4831154,4483551,347603,7.2,4939281,4697757,241524,4.9,5155937,4965568,190369,3.7,5231638,5050870,180768,3.5,67516,100,NA,NA
38000,"ND","North Dakota",412069,402201,9868,2.4,414120,405150,8970,2.2,409175,388962,20213,4.9,407443,395160,12283,3,412237,403886,8351,2,416722,408909,7813,1.9,73240,100,NA,NA
39000,"OH","Ohio",5819989,5558124,261865,4.5,5879395,5634934,244461,4.2,5736620,5266859,469761,8.2,5708982,5415608,293374,5.1,5733131,5503265,229866,4,5786996,5582438,204558,3.5,65786,100,NA,NA
40000,"OK","Oklahoma",1831256,1771251,60005,3.3,1843331,1785400,57931,3.1,1842829,1726786,116043,6.3,1866370,1791369,75001,4,1903508,1845328,58180,3.1,1963240,1899949,63291,3.2,59632,100,NA,NA
41000,"OR","Oregon",2080051,1996490,83561,4,2091454,2013835,77619,3.7,2107241,1947540,159701,7.6,2144461,2033502,110959,5.2,2159953,2075083,84870,3.9,2162127,2081652,80475,3.7,75638,100,NA,NA
42000,"PA","Pennsylvania",6509775,6222004,287771,4.4,6576454,6291680,284774,4.3,6506484,5929949,576535,8.9,6431855,6054068,377787,5.9,6465248,6202046,263202,4.1,6518343,6295653,222690,3.4,71789,100,NA,NA
44000,"RI","Rhode Island",572663,549529,23134,4,574066,553845,20221,3.5,570736,518282,52454,9.2,572546,540926,31620,5.5,571754,553588,18166,3.2,573848,556609,17239,3,80873,100,NA,NA
45000,"SC","South Carolina",2282022,2205356,76666,3.4,2333533,2268884,64649,2.8,2339140,2199751,139389,6,2359169,2266611,92558,3.9,2393329,2316435,76894,3.2,2453060,2380392,72668,3,64227,100,NA,NA
46000,"SD","South Dakota",459202,446413,12789,2.8,464665,451735,12930,2.8,464293,444895,19398,4.2,468876,456631,12245,2.6,474514,464946,9568,2,480238,470715,9523,2,70597,100,NA,NA
47000,"TN","Tennessee",3257053,3143792,113261,3.5,3339445,3227700,111745,3.3,3299159,3053560,245599,7.4,3321355,3172858,148497,4.5,3361979,3247975,114004,3.4,3379605,3267935,111670,3.3,65231,100,NA,NA
48000,"TX","Texas",13714126,13178793,535333,3.9,13927670,13434744,492926,3.5,13941490,12872070,1069420,7.7,14292315,13486624,805691,5.6,14672312,14093906,578406,3.9,15067153,14472524,594629,3.9,72279,100,NA,NA
49000,"UT","Utah",1584494,1538295,46199,2.9,1619079,1577970,41109,2.5,1644201,1564747,79454,4.8,1683325,1636957,46368,2.8,1737741,1696513,41228,2.4,1790381,1743223,47158,2.6,88531,100,NA,NA
50000,"VT","Vermont",355343,346553,8790,2.5,353432,346059,7373,2.1,339758,320708,19050,5.6,336265,324166,12099,3.6,343550,335547,8003,2.3,350886,343840,7046,2,74555,100,NA,NA
51000,"VA","Virginia",4359053,4228274,130779,3,4419378,4297265,122113,2.8,4332338,4053387,278951,6.4,4315045,4148175,166870,3.9,4427292,4304759,122533,2.8,4555208,4424155,131053,2.9,85838,100,NA,NA
53000,"WA","Washington",3814538,3645992,168546,4.4,3960885,3794004,166881,4.2,3891363,3560168,331195,8.5,3869163,3667123,202040,5.2,3969967,3806848,163119,4.1,4025762,3860883,164879,4.1,91255,100,NA,NA
54000,"WV","West Virginia",793415,752602,40813,5.1,794874,755523,39351,5,777139,713044,64095,8.2,773616,733825,39791,5.1,778705,748269,30436,3.9,785642,754986,30656,3.9,54097,100,NA,NA
55000,"WI","Wisconsin",3123898,3030659,93239,3,3117744,3017904,99840,3.2,3100674,2900956,199718,6.4,3106511,2986636,119875,3.9,3094981,3004778,90203,2.9,3133909,3038960,94949,3,71050,100,NA,NA
56000,"WY","Wyoming",292629,280754,11875,4.1,293997,283071,10926,3.7,293606,276367,17239,5.9,288769,275633,13136,4.5,292664,282615,10049,3.4,295207,286669,8538,2.9,71275,100,NA,NA
72000,"PR","Puerto Rico",1081692,982167,99525,9.2,1090852,1000363,90489,8.3,NA,NA,NA,NA,1171949,1079112,92837,7.9,1187414,1115938,71476,6,1197463,1127126,70337,5.9,NA,NA,NA,NA
